work,book,n_lines,total_words,total_syllables,n_newpara,n_speech_lines
iliad,1,611,4297,9647,70,34
iliad,2,877,5744,13647,39,292
iliad,3,461,3078,7222,60,242
iliad,4,544,3665,8519,59,242
iliad,5,909,6140,14293,99,334
iliad,6,529,3587,8326,46,324
iliad,7,482,3244,7542,52,243
iliad,8,561,3819,8780,49,269
iliad,9,709,4889,11110,36,584
iliad,10,579,3956,9091,82,292
iliad,11,847,5725,13326,54,302
iliad,12,471,3161,7355,22,122
iliad,13,837,5631,13227,54,254
iliad,14,521,3531,8183,56,247
iliad,15,746,5091,11716,69,291
iliad,16,867,5832,13631,54,256
iliad,17,761,5190,11978,71,267
iliad,18,616,4182,9713,63,266
iliad,19,424,2914,6690,44,272
iliad,20,503,3418,7915,42,229
iliad,21,611,4218,9707,62,270
iliad,22,515,3612,8133,54,287
iliad,23,897,6047,14109,86,353
iliad,24,804,5697,12657,94,452
odyssey,1,574,3936,9038,0,0
odyssey,2,433,3005,6803,0,0
odyssey,3,497,3395,7809,0,0
odyssey,4,847,5818,13320,0,0
odyssey,5,493,3447,7740,0,0
odyssey,6,566,3853,8864,0,0
odyssey,7,347,2358,5465,0,0
odyssey,8,586,3989,9183,0,0
odyssey,9,566,3853,8864,0,0
odyssey,10,574,3936,9038,0,0
odyssey,11,640,4329,10029,0,0
odyssey,12,453,3073,7058,0,0
odyssey,13,440,3016,6884,0,0
odyssey,14,533,3711,8348,0,0
odyssey,15,557,3832,8726,0,0
odyssey,16,481,3311,7526,0,0
odyssey,17,606,4157,9449,0,0
odyssey,18,428,2943,6718,0,0
odyssey,19,604,4175,9502,0,0
odyssey,20,394,2675,6168,0,0
odyssey,21,434,2953,6777,0,0
odyssey,22,501,3354,7864,0,0
odyssey,23,372,2562,5822,0,0
odyssey,24,548,3724,8587,0,0
